psLayout version 3

match	mis- 	rep. 	N's	Q gap	Q gap	T gap	T gap	strand	Q        	Q   	Q    	Q  	T        	T   	T    	T  	block	blockSizes 	qStarts	 tStarts
19	1	0	0	0	0	0	0	+	9546-28	20	0	20	mmu-mir-103-1	86	51	71	1	20,	0,	51,
18	0	0	0	0	0	0	0	+	9553-28	18	0	18	mmu-mir-320	82	46	64	1	18,	0,	46,
20	0	0	0	0	0	0	0	+	9555-28	20	0	20	mmu-mir-187	61	40	60	1	20,	0,	40,
20	0	0	0	0	0	0	0	+	9563-28	20	0	20	mmu-mir-298	82	11	31	1	20,	0,	11,
18	1	0	0	0	0	0	0	+	9565-28	20	0	19	mmu-mir-26b	85	14	33	1	19,	0,	14,
19	0	0	0	0	0	0	0	+	9565-28	20	0	19	mmu-mir-26a-2	84	13	32	1	19,	0,	13,
19	0	0	0	0	0	0	0	+	9565-28	20	0	19	mmu-mir-26a-1	90	15	34	1	19,	0,	15,
17	0	0	0	0	0	0	0	+	9568-28	18	1	18	mmu-mir-291b	79	13	30	1	17,	1,	13,
17	0	0	0	0	0	0	0	+	9568-28	18	1	18	mmu-mir-291a	82	14	31	1	17,	1,	14,
16	0	0	0	0	0	0	0	+	9571-28	16	0	16	mmu-mir-2135-5	102	5	21	1	16,	0,	5,
16	0	0	0	0	0	0	0	+	9571-28	16	0	16	mmu-mir-2135-4	107	9	25	1	16,	0,	9,
16	0	0	0	0	0	0	0	+	9571-28	16	0	16	mmu-mir-2135-3	110	10	26	1	16,	0,	10,
16	0	0	0	0	0	0	0	+	9571-28	16	0	16	mmu-mir-2135-2	110	10	26	1	16,	0,	10,
16	0	0	0	0	0	0	0	+	9571-28	16	0	16	mmu-mir-2135-1	110	10	26	1	16,	0,	10,
18	1	0	0	0	0	0	0	+	9572-28	19	0	19	mmu-mir-26a-2	84	13	32	1	19,	0,	13,
18	1	0	0	0	0	0	0	+	9572-28	19	0	19	mmu-mir-26a-1	90	15	34	1	19,	0,	15,
20	1	0	0	0	0	0	0	+	9573-28	21	0	21	mmu-mir-342	99	60	81	1	21,	0,	60,
18	0	0	0	0	0	0	0	+	9574-28	18	0	18	mmu-mir-2134-6	57	17	35	1	18,	0,	17,
18	0	0	0	0	0	0	0	+	9574-28	18	0	18	mmu-mir-2134-5	57	17	35	1	18,	0,	17,
18	0	0	0	0	0	0	0	+	9574-28	18	0	18	mmu-mir-2134-4	57	17	35	1	18,	0,	17,
18	0	0	0	0	0	0	0	+	9574-28	18	0	18	mmu-mir-2134-3	90	35	53	1	18,	0,	35,
18	0	0	0	0	0	0	0	+	9574-28	18	0	18	mmu-mir-2134-2	57	17	35	1	18,	0,	17,
18	0	0	0	0	0	0	0	+	9574-28	18	0	18	mmu-mir-2134-1	55	16	34	1	18,	0,	16,
19	0	0	0	0	0	0	0	+	9580-28	20	0	19	mmu-mir-1983	132	99	118	1	19,	0,	99,
20	1	0	0	0	0	0	0	+	9581-28	21	0	21	mmu-mir-20b	80	11	32	1	21,	0,	11,
20	1	0	0	0	0	0	0	+	9585-28	21	0	21	mmu-mir-26a-2	84	13	34	1	21,	0,	13,
20	1	0	0	0	0	0	0	+	9585-28	21	0	21	mmu-mir-26a-1	90	15	36	1	21,	0,	15,
19	1	0	0	0	0	0	0	+	9586-28	21	0	20	mmu-mir-466f-3	94	50	70	1	20,	0,	50,
19	1	0	0	0	0	0	0	+	9586-28	21	0	20	mmu-mir-466f-2	94	50	70	1	20,	0,	50,
20	0	0	0	0	0	0	0	+	9586-28	21	0	20	mmu-mir-466e	84	50	70	1	20,	0,	50,
21	0	0	0	0	0	0	0	+	9586-28	21	0	21	mmu-mir-466d	96	50	71	1	21,	0,	50,
20	0	0	0	0	0	0	0	+	9586-28	21	0	20	mmu-mir-466c	84	50	70	1	20,	0,	50,
19	0	0	0	0	0	0	0	+	9586-28	21	1	20	mmu-mir-466b-3	81	50	69	1	19,	1,	50,
20	0	0	0	0	0	0	0	+	9586-28	21	0	20	mmu-mir-466b-2	82	49	69	1	20,	0,	49,
20	0	0	0	0	0	0	0	+	9586-28	21	0	20	mmu-mir-466b-1	82	49	69	1	20,	0,	49,
20	0	0	0	0	0	0	0	+	9586-28	21	0	20	mmu-mir-466a	73	49	69	1	20,	0,	49,
18	0	0	0	0	0	0	0	+	9587-28	19	0	18	mmu-mir-295	69	42	60	1	18,	0,	42,
20	1	0	0	0	0	0	0	+	9596-28	21	0	21	mmu-mir-302b	74	48	69	1	21,	0,	48,
19	1	0	0	0	0	0	0	+	9599-28	20	0	20	mmu-mir-2146	54	20	40	1	20,	0,	20,
20	0	0	0	0	0	0	0	+	9600-28	21	1	21	mmu-mir-294	84	50	70	1	20,	1,	50,
20	0	0	0	0	0	1	21	+	9601-28	20	0	20	mmu-mir-467d	85	9	50	2	14,6,	0,14,	9,44,
19	1	0	0	0	0	0	0	+	9605-28	20	0	20	mmu-mir-20a	107	26	46	1	20,	0,	26,
19	0	0	0	0	0	0	0	+	9605-28	20	1	20	mmu-mir-17	84	14	33	1	19,	1,	14,
19	1	0	0	0	0	0	0	+	9608-28	20	0	20	mmu-mir-26a-2	84	13	33	1	20,	0,	13,
19	1	0	0	0	0	0	0	+	9608-28	20	0	20	mmu-mir-26a-1	90	15	35	1	20,	0,	15,
23	0	0	0	0	0	0	0	+	9615-28	23	0	23	mmu-mir-34a	102	19	42	1	23,	0,	19,
16	0	0	0	0	0	0	0	+	9617-28	20	4	20	mmu-mir-669l	98	22	38	1	16,	4,	22,
16	0	0	0	0	0	0	0	+	9617-28	20	4	20	mmu-mir-669d	121	45	61	1	16,	4,	45,
20	0	0	0	0	0	0	0	+	9617-28	20	0	20	mmu-mir-467h	121	79	99	1	20,	0,	79,
19	1	0	0	0	0	0	0	+	9617-28	20	0	20	mmu-mir-467e	87	10	30	1	20,	0,	10,
19	1	0	0	0	0	0	0	+	9617-28	20	0	20	mmu-mir-467c	97	9	29	1	20,	0,	9,
19	1	0	0	0	0	0	0	+	9621-28	20	0	20	mmu-mir-669c	109	23	43	1	20,	0,	23,
19	1	0	0	0	0	0	0	+	9631-28	20	0	20	mmu-mir-302a	69	43	63	1	20,	0,	43,
19	1	0	0	0	0	0	0	+	9633-28	20	0	20	mmu-mir-291a	82	49	69	1	20,	0,	49,
18	0	0	0	0	0	0	0	+	9639-28	18	0	18	mmu-mir-1188	120	19	37	1	18,	0,	19,
19	1	0	0	0	0	0	0	+	9643-28	20	0	20	mmu-mir-21	92	17	37	1	20,	0,	17,
18	1	0	0	0	0	0	0	+	9644-28	19	0	19	mmu-mir-27b	73	48	67	1	19,	0,	48,
19	1	0	0	0	0	0	0	+	9645-28	20	0	20	mmu-mir-292	82	49	69	1	20,	0,	49,
19	0	0	0	0	0	0	0	+	9650-28	19	0	19	mmu-mir-149	66	3	22	1	19,	0,	3,
19	1	0	0	0	0	0	0	+	9656-28	20	0	20	mmu-mir-291a	82	49	69	1	20,	0,	49,
21	0	0	0	0	0	0	0	-	9660-28	21	0	21	mmu-mir-2182	116	64	85	1	21,	0,	64,
19	0	0	0	0	0	0	0	+	9664-28	19	0	19	mmu-mir-377	68	43	62	1	19,	0,	43,
22	0	0	0	0	0	0	0	+	9665-28	22	0	22	mmu-mir-2135-5	102	4	26	1	22,	0,	4,
21	0	0	0	0	0	0	0	+	9665-28	22	0	21	mmu-mir-2135-4	107	8	29	1	21,	0,	8,
22	0	0	0	0	0	0	0	+	9665-28	22	0	22	mmu-mir-2135-3	110	9	31	1	22,	0,	9,
22	0	0	0	0	0	0	0	+	9665-28	22	0	22	mmu-mir-2135-2	110	9	31	1	22,	0,	9,
22	0	0	0	0	0	0	0	+	9665-28	22	0	22	mmu-mir-2135-1	110	9	31	1	22,	0,	9,
20	1	0	0	0	0	0	0	+	9666-28	21	0	21	mmu-mir-21	92	17	38	1	21,	0,	17,
19	0	0	0	0	0	0	0	+	9669-28	20	0	19	mmu-mir-292	82	51	70	1	19,	0,	51,
18	1	0	0	0	0	0	0	+	9670-28	19	0	19	mmu-mir-411	82	15	34	1	19,	0,	15,
20	1	0	0	0	0	0	0	+	9673-28	21	0	21	mmu-mir-106a	65	4	25	1	21,	0,	4,
18	1	0	0	0	0	0	0	+	9676-28	19	0	19	mmu-mir-21	92	17	36	1	19,	0,	17,
16	0	0	0	0	0	0	0	+	9677-28	16	0	16	mmu-mir-130a	64	45	61	1	16,	0,	45,
19	0	0	0	0	0	0	0	+	9685-28	20	1	20	mmu-mir-429	83	51	70	1	19,	1,	51,
18	1	0	0	0	0	0	0	+	9687-28	19	0	19	mmu-mir-674	100	24	43	1	19,	0,	24,
17	0	0	0	0	0	0	0	+	9688-28	17	0	17	mmu-mir-20a	107	26	43	1	17,	0,	26,
19	1	0	0	0	0	0	0	+	9695-28	20	0	20	mmu-mir-292	82	49	69	1	20,	0,	49,
18	2	0	0	0	0	0	0	+	9695-28	20	0	20	mmu-mir-290	83	48	68	1	20,	0,	48,
19	1	0	0	0	0	0	0	+	9696-28	20	0	20	mmu-mir-370	79	47	67	1	20,	0,	47,
19	1	0	0	0	0	0	0	+	9699-28	20	0	20	mmu-mir-302a	69	44	64	1	20,	0,	44,
20	1	0	0	0	0	0	0	+	9702-28	21	0	21	mmu-mir-17	84	13	34	1	21,	0,	13,
20	0	0	0	0	0	0	0	+	9703-28	21	0	20	mmu-mir-290	83	13	33	1	20,	0,	13,
19	0	0	0	0	0	0	0	+	9714-28	21	1	20	mmu-mir-291b	79	13	32	1	19,	1,	13,
20	0	0	0	0	0	0	0	+	9714-28	21	0	20	mmu-mir-291a	82	13	33	1	20,	0,	13,
20	1	0	0	0	0	0	0	+	9716-28	21	0	21	mmu-mir-186	71	6	27	1	21,	0,	6,
21	1	0	0	0	0	0	0	+	9721-28	22	0	22	mmu-mir-342	99	60	82	1	22,	0,	60,
20	1	0	0	0	0	0	0	+	9723-28	21	0	21	mmu-mir-181d	72	6	27	1	21,	0,	6,
19	1	0	0	0	0	0	0	+	9725-28	20	0	20	mmu-mir-467d	85	9	29	1	20,	0,	9,
23	0	0	0	0	0	0	0	+	9741-28	23	0	23	mmu-mir-330	98	61	84	1	23,	0,	61,
20	1	0	0	0	0	0	0	+	9743-28	21	0	21	mmu-mir-191	74	6	27	1	21,	0,	6,
23	0	0	0	0	0	0	0	-	9746-28	23	0	23	mmu-mir-2182	116	62	85	1	23,	0,	62,
18	1	0	0	0	0	0	0	+	9766-28	19	0	19	mmu-mir-376c	86	52	71	1	19,	0,	52,
19	1	0	0	0	0	0	0	+	9768-28	20	0	20	mmu-mir-298	82	10	30	1	20,	0,	10,
19	0	0	0	0	0	0	0	+	9769-28	19	0	19	mmu-mir-367	75	46	65	1	19,	0,	46,
22	0	0	0	0	0	0	0	+	9770-28	23	0	22	mmu-mir-24-2	107	60	82	1	22,	0,	60,
22	0	0	0	0	0	0	0	+	9770-28	23	0	22	mmu-mir-24-1	68	43	65	1	22,	0,	43,
20	1	0	0	0	0	0	0	+	9772-27	21	0	21	mmu-mir-21	92	17	38	1	21,	0,	17,
18	0	0	0	0	0	0	0	+	9778-27	18	0	18	mmu-mir-106b	82	51	69	1	18,	0,	51,
17	0	0	0	0	0	0	0	+	9781-27	17	0	17	mmu-mir-466e	84	50	67	1	17,	0,	50,
17	0	0	0	0	0	0	0	+	9781-27	17	0	17	mmu-mir-466d	96	50	67	1	17,	0,	50,
17	0	0	0	0	0	0	0	+	9781-27	17	0	17	mmu-mir-466c	84	50	67	1	17,	0,	50,
17	0	0	0	0	0	0	0	+	9781-27	17	0	17	mmu-mir-466b-2	82	49	66	1	17,	0,	49,
17	0	0	0	0	0	0	0	+	9781-27	17	0	17	mmu-mir-466b-1	82	49	66	1	17,	0,	49,
17	0	0	0	0	0	0	0	+	9781-27	17	0	17	mmu-mir-466a	73	49	66	1	17,	0,	49,
20	0	0	0	0	0	0	0	+	9783-27	20	0	20	mmu-mir-127	70	9	29	1	20,	0,	9,
19	1	0	0	0	0	0	0	+	9792-27	20	0	20	mmu-mir-16-2	95	17	37	1	20,	0,	17,
19	1	0	0	0	0	1	1	-	9792-27	20	0	20	mmu-mir-195	94	57	78	2	12,8,	0,12,	57,70,
19	1	0	0	0	0	0	0	+	9797-27	20	0	20	mmu-mir-107	87	51	71	1	20,	0,	51,
19	1	0	0	0	0	0	0	+	9797-27	20	0	20	mmu-mir-103-2	86	51	71	1	20,	0,	51,
19	1	0	0	0	0	0	0	+	9797-27	20	0	20	mmu-mir-103-1	86	51	71	1	20,	0,	51,
19	1	0	0	0	0	0	0	+	9806-27	20	0	20	mmu-mir-370	79	47	67	1	20,	0,	47,
20	1	0	0	0	0	0	0	+	9807-27	21	0	21	mmu-mir-295	69	42	63	1	21,	0,	42,
17	1	0	0	0	0	0	0	+	9811-27	18	0	18	mmu-mir-2141	89	14	32	1	18,	0,	14,
19	0	0	0	0	0	0	0	+	9816-27	20	0	19	mmu-mir-320	82	47	66	1	19,	0,	47,
18	1	0	0	0	0	0	0	+	9827-27	19	0	19	mmu-mir-101b	97	59	78	1	19,	0,	59,
21	0	0	0	0	0	0	0	+	9830-27	21	0	21	mmu-mir-134	71	5	26	1	21,	0,	5,
18	1	0	0	0	0	0	0	+	9831-27	19	0	19	mmu-mir-26b	85	14	33	1	19,	0,	14,
19	1	0	0	0	0	0	0	+	9837-27	20	0	20	mmu-mir-292	82	50	70	1	20,	0,	50,
19	1	0	0	0	0	0	0	+	9838-27	20	0	20	mmu-mir-24-2	107	60	80	1	20,	0,	60,
19	1	0	0	0	0	0	0	+	9838-27	20	0	20	mmu-mir-24-1	68	43	63	1	20,	0,	43,
19	1	0	0	0	0	0	0	+	9839-27	20	0	20	mmu-mir-292	82	50	70	1	20,	0,	50,
19	0	0	0	0	0	0	0	+	9852-27	19	0	19	mmu-mir-715	110	47	66	1	19,	0,	47,
18	1	0	0	0	0	0	0	+	9853-27	19	0	19	mmu-mir-2132	179	145	164	1	19,	0,	145,
22	0	0	0	0	0	0	0	+	9859-27	22	0	22	mmu-mir-19b-2	84	10	32	1	22,	0,	10,
18	0	0	0	0	0	0	0	+	9862-27	19	1	19	mmu-mir-376c	86	53	71	1	18,	1,	53,
20	0	0	0	0	0	0	0	+	9868-27	22	2	22	mmu-mir-293	80	47	67	1	20,	2,	47,
19	0	0	0	0	0	0	0	+	9870-27	20	0	19	mmu-mir-669o	96	54	73	1	19,	0,	54,
18	2	0	0	0	0	0	0	+	9870-27	20	0	20	mmu-mir-669g	123	44	64	1	20,	0,	44,
20	0	0	0	0	0	0	0	+	9870-27	20	0	20	mmu-mir-669a-3	109	62	82	1	20,	0,	62,
19	0	0	0	0	0	0	0	+	9870-27	20	0	19	mmu-mir-669a-2	97	56	75	1	19,	0,	56,
19	0	0	0	0	0	0	0	+	9870-27	20	0	19	mmu-mir-669a-1	97	54	73	1	19,	0,	54,
20	0	0	0	0	0	1	13	+	9870-27	20	0	20	mmu-mir-466f-1	94	46	79	2	6,14,	0,6,	46,65,
17	0	0	0	0	0	0	0	+	9874-27	17	0	17	mmu-mir-130b	82	53	70	1	17,	0,	53,
18	1	0	0	0	0	0	0	+	9875-27	19	0	19	mmu-mir-674	100	24	43	1	19,	0,	24,
19	0	0	0	0	0	0	0	+	9876-27	19	0	19	mmu-mir-99b	70	7	26	1	19,	0,	7,
19	1	0	0	0	0	0	0	+	9878-27	20	0	20	mmu-mir-24-1	68	43	63	1	20,	0,	43,
19	0	0	0	0	0	0	0	+	9880-27	20	1	20	mmu-mir-320	82	48	67	1	19,	1,	48,
20	0	0	0	0	0	0	0	+	9881-27	20	0	20	mmu-mir-291b	79	12	32	1	20,	0,	12,
19	0	0	0	0	0	0	0	+	9881-27	20	1	20	mmu-mir-291a	82	14	33	1	19,	1,	14,
19	1	0	0	0	0	0	0	+	9886-27	20	0	20	mmu-mir-433	124	66	86	1	20,	0,	66,
19	1	0	0	0	0	0	0	+	9888-27	20	0	20	mmu-mir-429	83	50	70	1	20,	0,	50,
19	2	0	0	0	0	0	0	+	9891-27	21	0	21	mmu-mir-302d	66	41	62	1	21,	0,	41,
16	0	0	0	0	0	0	0	+	9892-27	20	0	16	mmu-mir-302d	66	42	58	1	16,	0,	42,
16	0	0	0	0	0	0	0	+	9892-27	20	0	16	mmu-mir-302c	68	43	59	1	16,	0,	43,
17	0	0	0	0	0	0	0	+	9892-27	20	0	17	mmu-mir-302b	74	48	65	1	17,	0,	48,
19	0	0	0	0	0	0	0	+	9892-27	20	0	19	mmu-mir-302a	69	44	63	1	19,	0,	44,
19	1	0	0	0	0	0	0	+	9893-27	20	0	20	mmu-mir-92a-2	91	54	74	1	20,	0,	54,
19	1	0	0	0	0	0	0	+	9893-27	20	0	20	mmu-mir-92a-1	80	49	69	1	20,	0,	49,
19	0	0	0	0	0	0	0	+	9898-27	20	1	20	mmu-mir-28	86	14	33	1	19,	1,	14,
17	0	0	0	0	0	0	0	+	9898-27	20	0	17	mmu-mir-151	68	9	26	1	17,	0,	9,
19	1	0	0	0	0	0	0	+	9904-27	20	0	20	mmu-mir-295	69	42	62	1	20,	0,	42,
19	0	0	0	0	0	0	0	+	9907-27	20	0	19	mmu-mir-107	87	51	70	1	19,	0,	51,
19	0	0	0	0	0	0	0	+	9907-27	20	0	19	mmu-mir-103-2	86	51	70	1	19,	0,	51,
19	0	0	0	0	0	0	0	+	9907-27	20	0	19	mmu-mir-103-1	86	51	70	1	19,	0,	51,
20	1	0	0	0	0	0	0	+	9909-27	21	0	21	mmu-mir-107	87	51	72	1	21,	0,	51,
20	1	0	0	0	0	0	0	+	9909-27	21	0	21	mmu-mir-103-2	86	51	72	1	21,	0,	51,
20	1	0	0	0	0	0	0	+	9909-27	21	0	21	mmu-mir-103-1	86	51	72	1	21,	0,	51,
20	1	0	0	0	0	0	0	+	9912-27	21	0	21	mmu-mir-342	99	60	81	1	21,	0,	60,
19	1	0	0	0	0	0	0	+	9913-27	20	0	20	mmu-mir-409	79	46	66	1	20,	0,	46,
21	0	0	0	0	0	0	0	+	9914-27	21	0	21	mmu-mir-425	85	14	35	1	21,	0,	14,
20	0	0	0	0	0	0	0	-	9915-27	20	0	20	mmu-mir-2182	116	38	58	1	20,	0,	38,
21	0	0	0	0	0	0	0	+	9916-27	22	0	21	mmu-mir-134	71	6	27	1	21,	0,	6,
20	1	0	0	0	0	0	0	+	9930-27	21	0	21	mmu-mir-107	87	51	72	1	21,	0,	51,
20	1	0	0	0	0	0	0	+	9930-27	21	0	21	mmu-mir-103-2	86	51	72	1	21,	0,	51,
20	1	0	0	0	0	0	0	+	9930-27	21	0	21	mmu-mir-103-1	86	51	72	1	21,	0,	51,
18	1	0	0	0	0	0	0	+	9934-27	19	0	19	mmu-mir-376c	86	52	71	1	19,	0,	52,
21	0	0	0	0	0	0	0	+	9935-27	21	0	21	mmu-mir-186	71	7	28	1	21,	0,	7,
20	0	0	0	0	0	0	0	+	9939-27	20	0	20	mmu-mir-2134-6	57	8	28	1	20,	0,	8,
20	0	0	0	0	0	0	0	+	9939-27	20	0	20	mmu-mir-2134-5	57	8	28	1	20,	0,	8,
20	0	0	0	0	0	0	0	+	9939-27	20	0	20	mmu-mir-2134-4	57	8	28	1	20,	0,	8,
20	0	0	0	0	0	0	0	+	9939-27	20	0	20	mmu-mir-2134-3	90	26	46	1	20,	0,	26,
20	0	0	0	0	0	0	0	+	9939-27	20	0	20	mmu-mir-2134-2	57	8	28	1	20,	0,	8,
20	0	0	0	0	0	0	0	+	9939-27	20	0	20	mmu-mir-2134-1	55	7	27	1	20,	0,	7,
17	1	0	0	0	0	0	0	+	9947-27	19	0	18	mmu-mir-27b	73	48	66	1	18,	0,	48,
20	1	0	0	0	0	0	0	+	9948-27	21	0	21	mmu-mir-324	89	17	38	1	21,	0,	17,
20	0	0	0	0	0	0	0	+	9949-27	20	0	20	mmu-mir-300	79	5	25	1	20,	0,	5,
21	0	0	0	0	0	0	0	+	9951-27	21	0	21	mmu-mir-543	76	46	67	1	21,	0,	46,
20	1	0	0	0	0	0	0	+	9957-27	21	0	21	mmu-mir-295	69	42	63	1	21,	0,	42,
18	0	0	0	0	0	0	0	+	9960-27	19	0	18	mmu-mir-294	84	51	69	1	18,	0,	51,
18	1	0	0	0	0	0	0	+	9962-27	19	0	19	mmu-mir-669o	96	20	39	1	19,	0,	20,
19	0	0	0	0	0	0	0	+	9962-27	19	0	19	mmu-mir-669l	98	19	38	1	19,	0,	19,
18	0	0	0	0	0	0	0	+	9963-27	19	1	19	mmu-mir-676	89	55	73	1	18,	1,	55,
19	1	0	0	0	0	0	0	+	9969-27	20	0	20	mmu-mir-24-2	107	60	80	1	20,	0,	60,
19	1	0	0	0	0	0	0	+	9969-27	20	0	20	mmu-mir-24-1	68	43	63	1	20,	0,	43,
18	2	0	0	0	0	0	0	+	9974-27	20	0	20	mmu-mir-26a-2	84	13	33	1	20,	0,	13,
20	0	0	0	0	0	0	0	+	9976-27	20	0	20	mmu-mir-741	71	44	64	1	20,	0,	44,
19	1	0	0	0	0	0	0	+	9984-27	20	0	20	mmu-mir-16-2	95	16	36	1	20,	0,	16,
19	1	0	0	0	0	0	0	+	9984-27	20	0	20	mmu-mir-16-1	93	15	35	1	20,	0,	15,
17	0	0	0	0	0	0	0	+	9985-27	17	0	17	mmu-mir-136	62	39	56	1	17,	0,	39,
19	0	0	0	0	0	0	0	+	9990-27	19	0	19	mmu-mir-323	86	49	68	1	19,	0,	49,
21	0	0	0	0	0	0	0	+	9993-27	21	0	21	mmu-mir-378	66	41	62	1	21,	0,	41,
17	0	0	0	0	0	0	0	+	9995-27	22	0	17	mmu-mir-302d	66	41	58	1	17,	0,	41,
20	0	0	0	0	0	0	0	+	9995-27	22	1	21	mmu-mir-302c	68	43	63	1	20,	1,	43,
21	1	0	0	0	0	0	0	+	9995-27	22	0	22	mmu-mir-302b	74	47	69	1	22,	0,	47,
17	0	0	0	0	0	0	0	+	9995-27	22	0	17	mmu-mir-302a	69	43	60	1	17,	0,	43,
20	1	0	0	0	0	0	0	+	9997-27	21	0	21	mmu-mir-421	76	44	65	1	21,	0,	44,
17	0	0	0	0	0	0	0	+	9998-27	17	0	17	mmu-mir-341	96	56	73	1	17,	0,	56,
19	0	0	0	0	0	0	0	+	10000-27	20	0	19	mmu-mir-433	124	66	85	1	19,	0,	66,
16	0	0	0	0	0	0	0	+	10004-27	20	4	20	mmu-mir-1937b-5	123	28	44	1	16,	4,	28,
16	0	0	0	0	0	0	0	+	10004-27	20	4	20	mmu-mir-1937b-4	121	27	43	1	16,	4,	27,
16	0	0	0	0	0	0	0	+	10004-27	20	4	20	mmu-mir-1937b-3	132	31	47	1	16,	4,	31,
16	0	0	0	0	0	0	0	+	10004-27	20	4	20	mmu-mir-1937b-2	121	27	43	1	16,	4,	27,
16	0	0	0	0	0	0	0	+	10004-27	20	4	20	mmu-mir-1937a	118	25	41	1	16,	4,	25,
22	0	0	0	0	0	0	0	+	10005-27	22	0	22	mmu-mir-9-3	90	54	76	1	22,	0,	54,
22	0	0	0	0	0	0	0	+	10005-27	22	0	22	mmu-mir-9-2	72	44	66	1	22,	0,	44,
22	0	0	0	0	0	0	0	+	10005-27	22	0	22	mmu-mir-9-1	89	54	76	1	22,	0,	54,
19	2	0	0	0	0	0	0	+	10008-27	21	0	21	mmu-mir-292	82	50	71	1	21,	0,	50,
17	0	0	0	0	0	0	0	+	10010-27	17	0	17	mmu-mir-342	99	43	60	1	17,	0,	43,
19	1	0	0	0	0	0	0	+	10017-27	20	0	20	mmu-mir-292	82	11	31	1	20,	0,	11,
20	0	0	0	0	0	0	0	+	10018-27	21	1	21	mmu-mir-342	99	61	81	1	20,	1,	61,
19	0	0	0	0	0	0	0	+	10020-27	19	0	19	mmu-mir-138-2	71	48	67	1	19,	0,	48,
19	1	0	0	0	0	0	0	+	10023-26	20	0	20	mmu-mir-302a	69	44	64	1	20,	0,	44,
16	0	0	0	0	0	0	0	+	10026-26	16	0	16	mmu-mir-411	82	16	32	1	16,	0,	16,
18	1	0	0	0	0	0	0	+	10029-26	19	0	19	mmu-mir-411	82	15	34	1	19,	0,	15,
20	1	0	0	0	0	0	0	+	10031-26	21	0	21	mmu-mir-324	89	17	38	1	21,	0,	17,
20	0	0	0	0	0	0	0	+	10035-26	20	0	20	mmu-mir-141	72	3	23	1	20,	0,	3,
22	0	0	0	0	0	0	0	+	10036-26	22	0	22	mmu-mir-362	65	4	26	1	22,	0,	4,
20	1	0	0	0	0	0	0	+	10045-26	21	0	21	mmu-mir-342	99	60	81	1	21,	0,	60,
17	0	0	0	0	0	0	0	+	10047-26	22	0	17	mmu-mir-669o	96	19	36	1	17,	0,	19,
16	0	0	0	0	0	0	0	+	10047-26	22	0	16	mmu-mir-669l	98	18	34	1	16,	0,	18,
16	0	0	0	0	0	0	0	+	10047-26	22	0	16	mmu-mir-669f	121	19	35	1	16,	0,	19,
21	1	0	0	0	0	0	0	+	10047-26	22	0	22	mmu-mir-669a-3	109	27	49	1	22,	0,	27,
21	1	0	0	0	0	0	0	+	10047-26	22	0	22	mmu-mir-669a-2	97	21	43	1	22,	0,	21,
21	1	0	0	0	0	0	0	+	10047-26	22	0	22	mmu-mir-669a-1	97	19	41	1	22,	0,	19,
19	0	0	0	0	0	0	0	+	10051-26	19	0	19	mmu-mir-29c	88	53	72	1	19,	0,	53,
18	1	0	0	0	0	0	0	+	10051-26	19	0	19	mmu-mir-29b-2	81	51	70	1	19,	0,	51,
18	1	0	0	0	0	0	0	+	10051-26	19	0	19	mmu-mir-29b-1	71	46	65	1	19,	0,	46,
18	1	0	0	0	0	0	0	+	10051-26	19	0	19	mmu-mir-29a	88	53	72	1	19,	0,	53,
19	1	0	0	0	0	0	0	+	10052-26	20	0	20	mmu-mir-320	82	47	67	1	20,	0,	47,
20	1	0	0	0	0	0	0	+	10054-26	21	0	21	mmu-mir-21	92	17	38	1	21,	0,	17,
24	0	0	0	0	0	0	0	+	10063-26	24	0	24	mmu-mir-20a	107	26	50	1	24,	0,	26,
23	0	0	0	0	0	0	0	+	10069-26	23	0	23	mmu-mir-501	109	23	46	1	23,	0,	23,
19	0	0	0	0	0	0	0	+	10070-26	19	0	19	mmu-mir-466f-3	94	58	77	1	19,	0,	58,
20	0	0	0	0	0	0	0	+	10076-26	20	0	20	mmu-mir-136	62	40	60	1	20,	0,	40,
18	0	0	0	0	0	0	0	+	10079-26	19	1	19	mmu-mir-292	82	53	71	1	18,	1,	53,
19	0	0	0	0	0	1	1	+	10083-26	19	0	19	mmu-mir-302d	66	42	62	2	6,13,	0,6,	42,49,
16	0	0	0	0	0	0	0	+	10086-26	19	0	16	mmu-mir-291a	82	13	29	1	16,	0,	13,
16	0	0	0	0	0	0	0	+	10087-26	21	0	16	mmu-mir-302d	66	41	57	1	16,	0,	41,
16	0	0	0	0	0	0	0	+	10087-26	21	0	16	mmu-mir-302b	74	47	63	1	16,	0,	47,
20	1	0	0	0	0	0	0	+	10087-26	21	0	21	mmu-mir-302a	69	43	64	1	21,	0,	43,
18	0	0	0	0	0	0	0	+	10092-26	19	1	19	mmu-mir-411	82	16	34	1	18,	1,	16,
19	0	0	0	0	0	0	0	+	10093-26	20	1	20	mmu-mir-467d	85	10	29	1	19,	1,	10,
20	1	0	0	0	0	0	0	+	10095-26	21	0	21	mmu-mir-669o	96	6	27	1	21,	0,	6,
19	2	0	0	0	0	0	0	+	10095-26	21	0	21	mmu-mir-669l	98	5	26	1	21,	0,	5,
20	1	0	0	0	0	0	0	+	10095-26	21	0	21	mmu-mir-669k	127	20	41	1	21,	0,	20,
20	1	0	0	0	0	0	0	+	10095-26	21	0	21	mmu-mir-669j	121	33	54	1	21,	0,	33,
